index,context,question,answer
0,"Fit-tielet post daħal Brittaniku ieħor, Lewis Hamilton ta’ Mercedes, li wkoll irkupra żewġ postijiet mill-formazzjoni tal-bidu. B’dan ir-riżultat, Hamilton qabeż lil Fernando Alonso fil-punti, u issa jsib ruħu fit-tielet post tal-klassifika.",F' liem post fil-klassifika jinsab Hamilton?,fit-tielet post
1,"Max Verstappen temm it-tellieqa fil-ħames post, wara li sessjoni ta’ kwalifikazzjoni xokkanti li ratu jikkwalifika għat-tellieqa fil-11-il post. Minkejja dan, xorta waħda għadu jgawdi vantaġġ ta’ 151 punt fuq ix-xufier Sergio Perez, li jinsab fit-tieni post tal-klassifika.",Kemm hemm punti bejn Verstappen u t-tieni post fil-klassifika?,151 punt
2,"Din kienet ir-raba’ darba li rebaħ dan it-turnew prestiġġjuż, u issa sar l-ixjeħ plejer li qatt rebħu fl-era tal-Open. Bil-preżenza fl-10 finali tiegħu f’dan it-turnew, laħaq ukoll ir-rekord ta’ preżenzi ta’ Bill Tilden. Apparti minn hekk, kien ukoll l-24 titlu Grand Slam tul il-karriera illustrija tiegħu, li ġabu ndaqs ma’ Margaret Court għall-akbar ammont ta’ dawn it-titli mirbuħin. Huwa diġa għandu dan ir-rekord meta wieħed iqis biss plejers irġiel, segwit minn Rafael Nadal b’22 u Roger Federer b’20.",Kemm il-Grand Slam rebaħ Djokovic?,24 titlu
3,"Kienet l-opra tal-Isla li bdiet tieħu l-ilma l-ewwel, madwar il-marka tat-300 metru. Warajha segwiet ukoll l-opra tal-Marsa, biż-żewġ dgħajjes jgħerqu u ma jkunux jistgħu jaslu sa’ tmiem it-tellieqa. Dik tas-Siġġiewi ukoll ma rnexxilhiex tasal.",Liem dgħajsa għerqet l-ewwel?,tal-Isla
4,"It-tim ta’ Bormla ġie nkurunat rebbieħ, hekk kif bi sforz liema bħalu, irnexxielu jidħol fl-ewwel post b’vantaġġ ta’ nofs tul ta’ dgħajsa. Sfortunatament, l-opra tagħhom kien daħlilha wisq ilma u għerqet ftit sekondi wara. Warajha segwit dik tal-Birgu, li għerqet ukoll ftit sekondi wara t-tmiem. Fit-tielet post daħal it-tim ta’ Marsamxett.",Liem dgħajsa ġiet fit-tieni post?,tal-Birgu
5,"Il-gowl tar-rebħa wasal fit-58 minuta, hekk kif clearance mid-difiża ta’ Ġibiltà mar lejn id-direzzjoni ta’ Mbong li kien eżatt barra mill-kaxxa. Il-plejer Malti ma żballjax, hekk kif niżżel tajjeb b’sidru, u sab ir-rokkna ta’ fuq tax-xibka f’xutt fenomenali.",Min skurja għall-Malta?,Mbong
6,"Verstappen beda t-tellieqa fit-tieni post, bejn iż-żewġ xufiera ta’ Ferrari Carlos Sainz u Charles Leclerc. Kien fil-15-il dawra fejn Verstappen ħa vantaġġ minn żball ta’ Sainz, hekk kif dan qabżu minn barra tal-Curva Grande, u żamm din il-pożizzjoni tul il-bqijja tat-tellieqa kollha.",Verstappen fejn irnexxilu jaqbeż lil Sainz?,Curva Grande
7,"Yuki Tsunoda kellu jirtira qabel il-bidu tal-ewwel dawra, hekk kif kien irrappurtat li għandu problemi fil-magna tal-karozza tiegħu, li kkawżat dewmien ta’ madwar 20 minuta għall-bidu tal-avveniment. Esteban Ocon ukoll irtira lejn l-aħħar, hekk kif ilmenta dwar problemi tekniċi li waqqfuh milli jispiċċa t-tellieqa.",Għaliex kellu jirtira Yuki Tsunoda?,problemi fil-magna tal-karozza tiegħu
8,"Il-Ħadd 27 t’Awwissu, it-tim Franċiż ta’ Reims li jilgħab fl-għola diviżjoni tal-futbol Franċiż, lagħab barra minn daru kontra Montpellier. Għall-plejer internazzjonali Malta Teddy Teuma, din kienet l-ewwel logħba fejn kien mal-ewwel ħdax, mindu ingħaqad ma’ Reims fis-suq tat-trasferimenti ta’ dan is-sajf.",Ma min jilgħab Teddy Teuma?,Reims
9,"Buckle jilgħab iċ-ċess kemm lokalment kif ukoll internazzjonalment, u huwa mħarreġ minn Peter Sammut Briffa. Hu kiteb fuq il-midja soċjali sabiex jirringrazzja l-organizzaturi u l-parteċipanti kollha l-oħra, kif ukoll lill-kowċ tiegħu talli jgħinu sabiex jilħaq il-quċċata tal-potenzjal tiegħu.",Min hu l-kowċ ta' Buckle?,Peter Sammut Briffa
10,"Lagħab għall-ewwel darba lura fis-sena 1995 ma’ Parma FC, fejn ma damx biex wera il-kwalitajiet tiegħu, fosthom riflessi eċċezzjonali u kalma li rari ssib fi plejer ta’ 17-il sena. Huwa kien parti strumentali għat-tim tal-istaġun 98/99 li rebaħ il-Coppa Italia u l-UEFA Cup, li llum magħrufa bħala l-UEFA Europa League.",Liem kien l-ewwel tim ta' Buffon?,Parma FC
11,"Manchester City komplew iżidu mal-ventrina ta’ trofej li rebħu riċentament, hekk kif l-Erbgħa 16 t’Awwissu ħarġu rebbieħa fuq Sevilla fil-finali tal-UEFA Super Cup bl-għoti tal-penalties. Il-logħba ntlagħbet fil-Karaiskakis Stadium, f’Piraeus fil-Greċja.",Kif intrebħet il-logħba?,għoti tal-penalties
12,"Il-goalkeeper Żvizzeru Yann Sommer ingħaqad ma’ Inter Milan minn Bayern Munich għas-somma ta €6 miljun, biex b’hekk jimla l-vojt li ħalla André Onana meta telaq il-klabb sabiex jingħaqad ma’ Manchester United.",Ma min ingħaqad André Onana?,Manchester United
13,"Il-plejer Ingliż Ross Barkley ingħaqad mat-tim neo-promoss fil-Premier League Ingliż Luton Town. Hu kien għadu bla klabb hekk kif il-kuntratt tiegħu ma’ Nice wasal fi tmiemu lura f’Ġunju li għadda. Barkley huwa mistenni li jġib esperjenza lill-klabb, hekk kif fil-passat lagħab fil-kampjonat ma’ Everton, Chelsea u Aston Villa, kif ukoll kellu 33 prestazzjoni mat-tim nazzjonali Ingliż. Ma’ Luton ingħaqad ukoll Jacob Brown minn Stoke City, għal somma mhux magħrufa.",Ma min lagħab fil-passat Ross Barkley?,"Everton, Chelsea u Aston Villa"
14,"Nottingham Forest iffirmaw lill-goalkeeper Matt Turner minn Arsenal għal €12-il miljun, wara li niżel fl-ordni tal-klabb hekk kif il-Gunners iffirmaw lil David Raya.",F' liem pożizzjoni jilgħab Matt Turner?,goalkeeper
15,"Francis kien l-ewwel plejer Brittaniku li sewa miljun Lira Sterlina meta, fis-sena 1979, ġie trasferit minn Birmingham City għal Nottingham Forest. Hawnhekk kien ifforma parti mill-iskwadra leġġendarja ta’ Brian Clough li rebħet it-Tazza Ewropea sentejn infila fis-snin 1979 u 1980.",Kemm il-darba rebaħ it-Tazza Ewropea?,sentejn infila fis-snin 1979 u 1980
16,"Bl-emendi li saru fl-2021, il-Grassroots Leaders Diploma tikkwalifikak sabiex tikkowċja tfal ta’ taħt it-13-il sena. Bil-UEFA C, wieħed jista’ jikkowċja l-futbol tan-nisa, kif ukoll f’sezzjonijiet C u D tal-futbol taż-żgħar ta’ kull età. Il-UEFA B hija neċessarja sabiex wieħed jikkowċja f’sezzjonijiet A u B tal-futbol taż-żgħar ta’ kull età, kif ukoll fin-National Amateur League. Bil-UEFA PRO u l-UEFA A, wieħed jista’ jikkowċja fil-Premier League Malti u fiċ-Challenge League rispettivament.",X' inhu l-iskop tal-Grassroots Leaders Diploma?,tikkwalifikak sabiex tikkowċja tfal ta’ taħt it-13-il sena
17,"Ilbieraħ filgħaxija d-dinja tal-futbol ingħaqdet b'niket wara t-tħabbira tal-mewt, ""tar-Re tal-Futbol"", Edson Arantes do Nascimento magħruf popolarment bħala Pelé, fl-età ta' 82 sena wara battalja qalila kontra l-kanċer.",Biex miet Pelé?,kanċer
18,"Kif diġà għamlet referenza għaliha l-ILLUM il-ġimgħa li għaddiet, dan il-kampjonat qed isir għall-ewwel darba f’Novembru u f’Diċembru meta s-soltu dan ikun f’Mejju, Ġunju u Lulju. Dan minħabba t-temperaturi esaġerati li jkollu l-pajjiż ospitant. Il-plejers u s-segwaċi ngħataw l-għażla li jiffrankaw is-sħana taqli l-ankri iżda l-immigranti li kienu qed jibnu dawn l-istadiums biex jaqilgħu lira, ma kellhomx din l-għażla.",Għaliex ħa jsir f’Novembru u f’Diċembru il-kampjonat?,t-temperaturi esaġerati li jkollu l-pajjiż ospitant
19,"Il-Malta Football Association (MFA) ġiet ordnata tħallas ftit inqas minn €47,000 wara tkeċċija ta’ impjegat tagħha b’mod illegali u inġust, f’deċiżjoni li qed titqies bħala waħda importanti fil-qasam tax-xogħol u relazzjonijiet industrijali.",Għaliex ġiet immultata l-MFA?,tkeċċija ta’ impjegat tagħha b’mod illegali u inġust
20,"Jekk int imdorri tfittex u tiġbor ir-rizzi meta tmur sa ħdejn il-baħar se jkollok tistenna sentejn biex terġa' tagħmel dan. Dan għaliex mil-lum daħal fis-seħħ moratorju ta' sentejn li tagħmel il-ġbir tar-rizzi mix-xtut tagħna illegali. Dan il-pass ittieħed bil-għan li nissalvagwardjaw il-popolazzjoni tar-rizzi fil-gżejjer Maltin hekk kif l-aħħar snin, l-ammont ta' rizzi naqas drastikament. Il-Ministru Miriam Dalli f'post fuq Facebook sostniet illi li kieku ma sarx dan il-pass kien hemm ċans li dawn jiġu estinti għal kollox.",Għaliex ma jistawx jinqabdu rizzi għas-sentejn li ġejjin?,ċans li dawn jiġu estinti għal kollox.
21,"Fost il-bidliet, jekk wieħed jinqabad juża l-mobile waqt is-sewqan, jingħata multa ta’ €200, li jfisser li l-multa għal din l-offiża żdiedet b’€100. L-użu tal-mobile jinkludi wkoll użu ta’ headphones jew apparat simili li jintlibes fil-widna, anke jekk il-karozza tkun wieqfa.",Kemm hi l-multa għal min juża l-mobile waqt li jsuq?,€200
22,"Għaldaqstant aħna nemmnu li dan l-Artiklu għandu jitneħħa. Apparti l-fatt illi għandna r-realtà li pajjiżna mhux kompletament kattoliku, ma narawx il-bżonn u l-ħtieġa li stat ikollu reliġjon tiegħu. Il-Kostituzzjoni ta’ Malta hija dokument legali li jagħti gwida ta’ kif jiġi operat l-istat u mhux stqarrija dwar l-identità jew it-tradizzjoni Maltija. Għaliex persuni li jidentifikaw lilhom innifishom bħala kattoliċi għandhom bżonn jew iridu referenza fil-Kostituzzjoni, sakemm mhux biex jippromwovu l-kontroll jew influwenza tal-Knsija fuq dawk illi m’għandhomx fidi? Li Malta ma tibqax stat kattoliku ma jfissirx illi l-fidi kattolika f’Malta awtomatikament se tiġi sostiwita ma’ fidi oħra.",X' inhi il-Kostituzzjoni ta’ Malta?,dokument legali li jagħti gwida ta’ kif jiġi operat l-istat
23,"33% tal-Maltin u Għawdxin li vjaġġaw bejn Ottubru u Diċembru 2022, marru l-Italja. Dan irriżulta minn statistika maħruġa mill-Uffiċċju Nazzjonali tal-Istatistika (NSO). Minn din l-istatistika irrużla li fl-aħħar kwart tas-sena 2022 b'kollox 180,215 persuna li toqgħod Malta vjaġġat għal skopijiet ta' vaganza jew biex iżuru xi ħbieb jew qraba. Dan ifisser medja ta' ftit aktar minn 60,000 kull xahar.",X' inhu l-NSO?,Uffiċċju Nazzjonali tal-Istatistika
24,"Fi stqarrija l-BCRS qalet illi din l-iskema qed tgħin biex jonqos l-iskart tal-plastik fit-toroq u li dawn iċ-ċifri huma indikatur ""inkoraġġanti"" hekk kif Malta qed tirriċikla 20% biss tal-madwar 230 miljun kontenitur tal-plastik fis-suq.",X' inhu l-iskop tal-BCRS?,jonqos l-iskart tal-plastik fit-toroq
